"band","sex","primary_dose","secondary_dose","population","dppi46","quantity46","eyetot46","dppi49","quantity49","eyetot49","dppi56","quantity56","eyetot56","dppi63","quantity63","eyetot63","sec_maxeye","sec_maxload","year.x","sec_resist","sec_resist10","sec_toleye","sec_inf","sresid","dppi7","quantity7","eyetot7","dppi14","quantity14","eyetot14","dppi21","quantity21","eyetot21","dppi28","quantity28","eyetot28","dppi35","quantity35","eyetot35","dppi40","quantity40","eyetot40","dppi41","quantity41","eyetot41","year.y","prim_maxeye","prim_maxload","prim_resist","prim_resist10","prim_toleye","prim_inf","presid"
501,"f","0","30","az",46,0,0,49,0,0,56,0,0,NA,NA,NA,0,0,"2021",0,0,0,0,NA,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
502,"f","750","7000","az",46,5297.650604,0,49,191095.3927,0.5,56,59.94505495,0.5,NA,NA,NA,0.5,191095.3927,"2021",191095.3927,5.28125248901592,0.5,1,0.395526151904505,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,3.788288559,0,"2021",0,3.788288559,0,0,0,0,NA
503,"m","750","0","az",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25055.42642,2,14,2813.389318,2,21,NA,0,28,NA,0,35,NA,0,40,192.3299925,0,41,NA,0,"2022",2,25055.42642,25055.42642,4.39891913143297,2,1,-0.0186767492229475
507,"f","0","0","az",46,0,0,49,0,NA,56,0,0,NA,NA,NA,0,0,"2022",0,0,0,0,NA,7,0,0,14,0,0,21,NA,0,28,NA,0,35,NA,0,40,0,0,41,NA,0,"2022",0,0,0,0,0,0,NA
511,"f","0","300","az",46,0,0,49,0,NA,56,3.197555639,0,NA,NA,NA,0,3.197555639,"2022",0,0,0,0,NA,7,0,0,14,0,0,21,NA,0,28,NA,0,35,NA,0,40,0,0,41,NA,0,"2022",0,0,0,0,0,0,NA
516,"m","750","100","az",46,1.503539377,0,49,0,NA,56,0,0,NA,NA,NA,0,1.503539377,"2022",0,0,0,0,NA,7,122898.9775,1,14,1239.673502,3,21,NA,0,28,NA,0,35,NA,0,40,0,0,41,NA,0,"2022",3,122898.9775,122898.9775,5.08955180337769,3,1,-0.0906675096025797
519,"f","0","100","az",46,0,0,49,0,0,56,0,0,NA,NA,NA,0,0,"2021",0,0,0,0,NA,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
527,"f","750","0","az",46,0,0,49,0,NA,56,0,0,NA,NA,NA,0,0,"2022",0,0,0,0,NA,7,0,0,14,0,0,21,NA,0,28,NA,0,35,NA,0,40,0,0,41,NA,0,"2022",0,0,0,0,0,0,NA
532,"m","750","30","az",46,36.99478592,0,49,3.23445649,NA,56,0,0,NA,NA,NA,0,36.99478592,"2022",3.23445649,0.62679767475131,0,1,0.0755456854218162,7,7115.15398,0,14,22391.40346,2,21,NA,3.5,28,NA,2,35,NA,0,40,4.886085678,0,41,NA,0,"2022",3.5,22391.40346,7115.15398,3.85224533681785,2,1,-0.0844041506356013
540,"m","0","7000","az",46,363.1424468,0,49,221134.5005,NA,56,33804.32667,3,NA,NA,NA,3,221134.5005,"2022",221134.5005,5.3446584686467,3,1,-0.0129090556944827,7,0,0,14,0,0,21,NA,0,28,NA,0,35,NA,0,40,0,0,41,NA,0,"2022",0,0,0,0,0,0,NA
