band,sex,primary_dose,secondary_dose,year,population,quantity7,eyetot7,quantity14,eyetot14,quantity21,eyetot21,quantity28,eyetot28,quantity35,eyetot35,dppi40,quantity40,eyetot40,dppi41,quantity41,eyetot41,quantity46,eyetot46,quantity49,eyetot49,quantity56,eyetot56,quantity63,eyetot63,prim_maxeye,prim_maxload,prim_resist,prim_resist10,prim_toleye,prim_inf,presid_old,sec_maxeye,sec_maxload,sec_resist,sec_resist10,sec_toleye,sec_inf,sresid_old
501,f,0,30,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
502,f,750,7000,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,3.788288559,0,5297.650604,0,191095.3927,0.5,59.94505495,0.5,NA,NA,0,3.788288559,0,0,0,0,NA,0.5,191095.3927,191095.3927,5.281252489,0.5,1,0.395526152
503,m,750,0,2022,az,25055.42642,2,2813.389318,2,NA,0,NA,0,NA,0,40,192.3299925,0,41,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,25055.42642,25055.42642,4.398919131,2,1,-0.018676749,NA,NA,NA,NA,NA,NA,NA
507,f,0,0,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
511,f,0,300,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,3.197555639,0,NA,NA,0,0,0,0,0,0,NA,0,3.197555639,0,0,0,0,NA
516,m,750,100,2022,az,122898.9775,1,1239.673502,3,NA,0,NA,0,NA,0,40,0,0,41,NA,0,1.503539377,0,0,NA,0,0,NA,NA,3,122898.9775,122898.9775,5.089551803,3,1,-0.09066751,0,1.503539377,0,0,0,0,NA
519,f,0,100,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
527,f,750,0,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
532,m,750,30,2022,az,7115.15398,0,22391.40346,2,NA,3.5,NA,2,NA,0,40,4.886085678,0,41,NA,0,36.99478592,0,3.23445649,NA,0,0,NA,NA,3.5,22391.40346,7115.15398,3.852245337,2,1,-0.084404151,0,36.99478592,3.23445649,0.626797675,0,1,0.075545685
540,m,0,7000,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,363.1424468,0,221134.5005,NA,33804.32667,3,NA,NA,0,0,0,0,0,0,NA,3,221134.5005,221134.5005,5.344658469,3,1,-0.012909056
